date,keyword,search_index,scrape_date
2/28/2026 8:00,kurti,85,3/3/2026
2/28/2026 9:00,kurti,86,3/3/2026
2/28/2026 10:00,kurti,87,3/3/2026
2/28/2026 11:00,kurti,87,3/3/2026
2/28/2026 12:00,kurti,91,3/3/2026
2/28/2026 13:00,kurti,84,3/3/2026
2/28/2026 14:00,kurti,91,3/3/2026
2/28/2026 15:00,kurti,84,3/3/2026
2/28/2026 16:00,kurti,81,3/3/2026
2/28/2026 17:00,kurti,78,3/3/2026
2/28/2026 18:00,kurti,87,3/3/2026
2/28/2026 19:00,kurti,91,3/3/2026
2/28/2026 20:00,kurti,74,3/3/2026
2/28/2026 21:00,kurti,50,3/3/2026
2/28/2026 22:00,kurti,46,3/3/2026
2/28/2026 23:00,kurti,42,3/3/2026
3/1/2026 0:00,kurti,48,3/3/2026
3/1/2026 1:00,kurti,40,3/3/2026
3/1/2026 2:00,kurti,53,3/3/2026
3/1/2026 3:00,kurti,63,3/3/2026
3/1/2026 4:00,kurti,80,3/3/2026
3/1/2026 5:00,kurti,85,3/3/2026
3/1/2026 6:00,kurti,96,3/3/2026
3/1/2026 7:00,kurti,99,3/3/2026
3/1/2026 8:00,kurti,100,3/3/2026
3/1/2026 9:00,kurti,92,3/3/2026
3/1/2026 10:00,kurti,97,3/3/2026
3/1/2026 11:00,kurti,97,3/3/2026
3/1/2026 12:00,kurti,96,3/3/2026
3/1/2026 13:00,kurti,86,3/3/2026
3/1/2026 14:00,kurti,90,3/3/2026
3/1/2026 15:00,kurti,87,3/3/2026
3/1/2026 16:00,kurti,85,3/3/2026
3/1/2026 17:00,kurti,80,3/3/2026
3/1/2026 18:00,kurti,84,3/3/2026
3/1/2026 19:00,kurti,83,3/3/2026
3/1/2026 20:00,kurti,76,3/3/2026
3/1/2026 21:00,kurti,62,3/3/2026
3/1/2026 22:00,kurti,51,3/3/2026
3/1/2026 23:00,kurti,40,3/3/2026
3/2/2026 0:00,kurti,41,3/3/2026
3/2/2026 1:00,kurti,43,3/3/2026
3/2/2026 2:00,kurti,52,3/3/2026
3/2/2026 3:00,kurti,60,3/3/2026
3/2/2026 4:00,kurti,61,3/3/2026
3/2/2026 5:00,kurti,66,3/3/2026
3/2/2026 6:00,kurti,72,3/3/2026
3/2/2026 7:00,kurti,75,3/3/2026
3/2/2026 8:00,kurti,75,3/3/2026
3/2/2026 9:00,kurti,75,3/3/2026
3/2/2026 10:00,kurti,80,3/3/2026
3/2/2026 11:00,kurti,79,3/3/2026
3/2/2026 12:00,kurti,80,3/3/2026
3/2/2026 13:00,kurti,86,3/3/2026
3/2/2026 14:00,kurti,90,3/3/2026
3/2/2026 15:00,kurti,86,3/3/2026
3/2/2026 16:00,kurti,84,3/3/2026
3/2/2026 17:00,kurti,86,3/3/2026
3/2/2026 18:00,kurti,82,3/3/2026
